Handle;Title;Body (HTML);Vendor;Product Category;Type;Tags;Published;Option1 Name;Option1 Value;Variant Grams;Variant Inventory Tracker;Variant Inventory Qty;Variant Inventory Policy;Variant Fulfillment Service;Variant Price;Variant Compare At Price;Variant Requires Shipping;Variant Taxable;Variant Barcode;Image Src;Image Position;Image Alt Text;Gift Card;SEO Title;SEO Description;Google Shopping / Google Product Category;Google Shopping / Gender;Google Shopping / Age Group;Google Shopping / MPN;Google Shopping / Condition;Google Shopping / Custom Product;Variant Image;Variant Weight Unit;Variant Tax Code;Cost per item;Included / United States;Price / United States;Compare At Price / United States;Included / International;Price / International;Compare At Price / International;status;Unnamed: 43
armada-arv-100-2425;Armada ARV 100 24/25;TOM;armada;Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Skis;allmountain;;True;längd;165;0;shopify;88;Deny;Manual;5459.0;7799.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_100.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_100.jpg;;;;;;;;;;Active;
armada-arv-100-2425;;;;;;;True;;172;0;shopify;0;Deny;Manual;5459.0;7799.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_140.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_140.jpg;;;;;;;;;;;
armada-arv-100-2425;;;;;;;True;;179;0;shopify;0;Deny;Manual;5459.0;7799.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_161.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_161.jpg;;;;;;;;;;;
armada-arv-100-2425;;;;;;;True;;186;0;shopify;0;Deny;Manual;5459.0;7799.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_178.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_178.jpg;;;;;;;;;;;
armada-arv-112-2425;Armada ARV 112 24/25;TOM;armada;Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Skis;offpist;;True;längd;175;0;shopify;0;Deny;Manual;5099.0;8499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_012.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_012.jpg;;;;;;;;;;Active;
armada-arv-112-2425;;;;;;;True;;185;0;shopify;93;Deny;Manual;5099.0;8499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_008.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_008.jpg;;;;;;;;;;;
armada-arv-112-2425;;;;;;;True;;192;0;shopify;36;Deny;Manual;5099.0;8499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_191.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_191.jpg;;;;;;;;;;;
armada-arv-84-long-2425;Armada ARV 84 (Long) 24/25;Skidans skräddarsydda konstruktion förbättrar dess prestanda oavsett snöförhållanden, vilket resulterar i en stabil och kontrollerad åkning. Tack vare breda övergångspunkter från platta till bindning, erbjuder Strive 13-bindningarna som ingår i paketet ökad stabilitet och säkerhet.;armada;Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Skis;Junior;;True;längd;157;0;shopify;0;Deny;Manual;3149.0;4499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_138.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_138.jpg;;;;;;;;;;Active;
armada-arv-84-long-2425;;;;;;;True;;164;0;shopify;35;Deny;Manual;3149.0;4499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_175.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_175.jpg;;;;;;;;;;;
armada-arv-84-long-2425;;;;;;;True;;171;0;shopify;0;Deny;Manual;3149.0;4499.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_118.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_118.jpg;;;;;;;;;;;
armada-arv-84-short-2425;Armada ARV 84 (short) 24/25;TOM;armada;Sporting Goods > Outdoor Recreation > Winter Sports & Activities > Skiing & Snowboarding > Skis;Junior;;True;längd;133;0;shopify;58;Deny;Manual;2799.0;3999.0;False;True;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_188.jpg;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_188.jpg;;;;;;;;;;Active;
