Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Längd
nordica-enforcer,nordica enforcer 99,"<p>NORDICA ENFORCER 99 24/25

Helt nya Nordicas Enforcer 99 är allt en allmountainskida ska vara - och lite till. Otroligt lekfull och mångsidig, den är hemma i alla terränger och i alla förhållanden. Enforcer 99 har en ny konstruktion med både träkärna och elastomerisk Pulse-kärna mellan två lager av Titanal, vilket ger en anmärkningsvärt mjuk och kraftfull åkning. I kombination med en bredare midja maximerar den här konstruktionen kontrollen och responsen samtidigt som den är utmärkt i mjukare snö. Den här skidan tar den legendariska prestandan från Enforcer-kollektionen och bygger vidare på den för att öka ditt självförtroende. Åk vad som helst med lätthet på Nordica Enforcer 99.

Specifikationer:

Konstruktion: Energy 2 TI Pulse Core
Rocker: All Mountain Rocker
Kärna / Material: Performance Wood + Metal + Sidewall + Pulse Core</p>",Nordica,Allmountainskidor,Skis,"Allmountainskidor, unisex, Skiing, Alpine",True,Längd,173 cm,,,,,nordica-enforcer-99-173,2000,shopify,73,deny,manual,7999,5599.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_115.jpg,1,nordica enforcer 99 173cm - Product 001,False,nordica enforcer 99 173cm - Nordica | Premium Alpine Skis,Buy nordica enforcer 99 by Nordica. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,nordica-enforcer-99-173;179;185;191,Nordica Skis,"Allmountainskidor, unisex",new,False,Nordica,Allmountainskidor,unisex,173;179;185;191,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_115.jpg,kg,,,active,173 cm
nordica-enforcer,,,,,,,,Längd,179 cm,,,,,nordica-enforcer-99-179,2000,shopify,63,deny,manual,7999,5599.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_150.jpg,1,179cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_150.jpg,kg,,,active,179 cm
nordica-enforcer,,,,,,,,Längd,185 cm,,,,,nordica-enforcer-99-185,2000,shopify,25,deny,manual,7999,5599.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_168.jpg,1,185cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_168.jpg,kg,,,active,185 cm
nordica-enforcer,,,,,,,,Längd,191 cm,,,,,nordica-enforcer-99-191,2000,shopify,81,deny,manual,7999,5599.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_053.jpg,1,191cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_053.jpg,kg,,,active,191 cm
völkl-vwerks,Völkl V.Werks 100,"<p>För att fira företagets hundraårsjubileum har Völkls ingenjörer utnyttjat sin omfattande expertis utan att kompromissa med materialval eller åkegenskaper! Resultatet är en skida som är oöverträffad i alla avseenden. Völkl V.Werks 100 har en mittbredd på 100 mm, vilket ger gott om lyft i mjuk och djup snö. Formen ger exceptionell manövrerbarhet samtidigt som den är mycket responsiv och lätt att kontrollera. Det här är klassisk Völkl-prestanda, men ännu mer raffinerad!

Skidans åkegenskaper är särskilt spännande när man tänker på dess konstruktion. Völkls forsknings- och utvecklingsteam bryter mot sitt vanliga tillvägagångssätt och sätter nya standarder för hållbar skidkonstruktion. Skidans 3D-frästa träkärna är helt tillverkad av FSC-certifierat trä. Stålkanterna och ytan är båda tillverkade av återvunnet material, utan att kompromissa med kvalitet eller prestanda.

En av dess enastående egenskaper är användningen av naturliga, förnybara linfibrer som ersätter kolfiber. Völkl har utvecklat ett system för att placera linfibrerna längs skidans kraftlinjer, vilket inte bara förbättrar dess dynamik utan också minskar den kraft som krävs, särskilt i bladområdet. Och låt oss inte glömma det eleganta utseendet som perfekt återspeglar dess förstklassiga prestanda!</p>",Völkl,allmountainskidor,Skis,"allmountainskidor, unisex, Skiing, Alpine",True,Längd,179 cm,,,,,völkl-vwerks-100-179,2000,shopify,0,deny,manual,25000,17500.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_126.jpg,1,Völkl V.Werks 100 179cm - Product 003,False,Völkl V.Werks 100 179cm - Völkl | Premium Alpine Skis,Buy Völkl V.Werks 100 by Völkl. High-quality alpine skis perfect for allmountainskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,völkl-vwerks-100-179;186,Völkl Skis,"allmountainskidor, unisex",new,False,Völkl,allmountainskidor,unisex,179;186,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_126.jpg,kg,,,active,179 cm
völkl-vwerks,,,,,,,,Längd,186 cm,,,,,völkl-vwerks-100-186,2000,shopify,29,deny,manual,25000,17500.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_073.jpg,1,186cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_073.jpg,kg,,,active,186 cm
völkl-revolt-urban-marker-45-vmotion-gw,Völkl Revolt Urban Junior + Marker 4.5 vMotion JR GW,"<p>Völkl Revolt Urban Junior + Marker 4.5 VMotion JR GW 24/25 erbjuder unga skidåkare en spännande upplevelse på många olika sätt. Med sin bredare design, som främjar stabilitet och gör tricks lättare, hjälper den juniorer att känna sig bekväma och självsäkra när de utforskar både parker och urbana miljöer. Skidans mjuka flex möjliggör lekfull hantering, vilket ger ungdomarna friheten att utföra kreativa manövrar och utveckla sina färdigheter.



Eftersom Marker 4.5 VMotion JR GW-bindningarna matchar skidorna perfekt, får unga åkare både säker och responsiv hantering, vilket är avgörande för deras progressiva utveckling. Bindningarna garanterar inte bara säkerhet utan förhöjer även skidupplevelsen, vilket inspirerar till mer avancerade trick och åkstilar.



Förädlade med den flexibla Tip och Tail Rocker-profilen, gör dessa skidor det enkelt för juniorer att utföra Nose Butter-stunts och dynamisk jibbing. Detta bidrar till att både individuella talanger och kreativitet står i centrum för upplevelsen, vilket uppmuntrar både nybörjare och mer erfarna unga åkare att njuta av varje åktur.



Sammanfattningsvis erbjuder Völkl Revolt Urban Junior + Marker 4.5 VMotion JR GW 24/25-paketet allt som unga och äventyrliga skidåkare behöver för att ha kul och utvecklas. Produkternas kombination garanterar kontroll och stabilitet, oavsett vilken typ av terräng som utforskas, vilket gör det till en perfekt lösning för den energiska unga skidåkaren som söker variation och kreativ frihet i både park och berg.
</p>",Völkl,Juniorskidor,Skis,"Juniorskidor, junior, Skiing, Alpine",True,Längd,118 cm,,,,,völkl-revolt-urban-junior-marker-45-vmotion-jr-gw-118,2000,shopify,0,deny,manual,3399,2379.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_031.jpg,1,Völkl Revolt Urban Junior + Marker 4.5 vMotion JR GW 118cm - Product 004,False,Völkl Revolt Urban Junior + Marker 4.5 vMotion JR GW 118cm - Völkl | Premium Alpine Skis,Buy Völkl Revolt Urban Junior + Marker 4.5 vMotion JR GW by Völkl. High-quality alpine skis perfect for juniorskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,junior,adult,völkl-revolt-urban-junior-marker-45-vmotion-jr-gw-118;128,Völkl Skis,"Juniorskidor, junior",new,False,Völkl,Juniorskidor,junior,118;128,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_031.jpg,kg,,,active,118 cm
völkl-revolt-urban-marker-45-vmotion-gw,,,,,,,,Längd,128 cm,,,,,völkl-revolt-urban-junior-marker-45-vmotion-jr-gw-128,2000,shopify,15,deny,manual,3399,2379.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_033.jpg,1,128cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_033.jpg,kg,,,active,128 cm
völkl-peregrine-inkl-lowride-xl-fr-gw,Völkl Peregrine 82 inkl. LowRide XL 13 FR GW,"<p>Völkl har utvecklat modellen Peregrine 82 för att möta skidåkarnas ständigt föränderliga behov. Med 82 mm under foten är den mer stabil och motståndskraftig mot förändrade förhållanden, vilket gör skidåkningen på orten enkel och lättare att svänga. Modellen ser till att du som skidåkare kan ha roligt oavsett underlag.

Völkl Peregrine 82 är utmärkt i isiga backar såväl som i nysnö, och kommer att glädja erfarna skidåkare med sin prestanda. Tack vare Völkls unika Tailored Carbon Tips ger skidan mer smidighet för snabba, korta svängar i skiftande förhållanden. Dessutom ger 3D Radius Sidecut mångsidighet för lekfull skidåkning. Kombinationen av den nya spetsgeometrin och den integrerade Tailored Titanal Frame ger en mer direkt, exakt och pålitlig hantering med högsta stabilitet. Marker och Völkl har tillsammans tagit fram LowRide XL-bindningen med GripWalk, som ger bra kraftöverföring och kantgrepp tack vare den extra låga ståhöjden.</p>",Völkl,Pistskidor,Skis,"Pistskidor, unisex, Skiing, Alpine",True,Längd,172 cm,,,,,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-172,2000,shopify,89,deny,manual,10399,12999.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_044.jpg,1,Völkl Peregrine 82 inkl. LowRide XL 13 FR GW 172cm - Product 005,False,Völkl Peregrine 82 inkl. LowRide XL 13 FR GW 172cm - Völkl | Premium Alpine Skis,Buy Völkl Peregrine 82 inkl. LowRide XL 13 FR GW by Völkl. High-quality alpine skis perfect for pistskidor. Available in multiple lengths.,Sporting Goods > Winter Sports > Skiing > Skis,unisex,adult,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-172;177;182;167,Völkl Skis,"Pistskidor, unisex",new,False,Völkl,Pistskidor,unisex,172;177;182;167,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_044.jpg,kg,,,active,172 cm
völkl-peregrine-inkl-lowride-xl-fr-gw,,,,,,,,Längd,177 cm,,,,,völkl-peregrine-82-inkl-lowride-xl-13-fr-gw-177,2000,shopify,1,deny,manual,10399,12999.0,True,True,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_101.jpg,1,177cm variant,False,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0947/3435/2707/files/unique_101.jpg,kg,,,active,177 cm
